Kalimat,Kelas
Rekomendasi situs web yang wajib diketahui oleh mahasiswa?,OOD
Siapa penulis buku Rehat Dulu?,OOD
Apa visi misi unsri?,OOD
Siapa Nama Rektor Universitas Sriwijaya?,OOD
Jurusan S2 yang sesuai dengan passion dan skill desain,OOD
Siapa penulis buku Duduk Dulu?,OOD
Kapan waktu yang tepat untuk tidur ?,OOD
Dimana letak ruangan laboratorium data science di Fakultas ilmu komputer unsri?,OOD
Apakah jadwal mahasiswa dengan nim xxx hari ini?,OOD
Dia adalah seorang dokter gigi,OOD
drama korea apa yang bagus ditonton saat ini?,OOD
Dimana saja letak kampus unsri? ,OOD
Siapakah orang yang pertama kali mendarat di pluto ?,OOD
Kapan konser BTS tahun 2021 dilaksanakan?,OOD
Siapa pendiri unsri? ,OOD
Bagaimana cara agar kita tidak malas belajar?,OOD
Apakah novel Tere Liye termasuk karya sastra?,OOD
Siapa penulis puisi Aku Berada Kembali?,OOD
Bagaimana cara menurunkan berat badan yang sehat?,OOD
Mengapa Ilmu Komputer harus lulus suliet 500?,OOD
Jelaskan tentang laut mati ? ,OOD
Mengapa kampus memberlakukan skripsi?,OOD
Apa yang harus dipersiapkan untuk melanjutkan pendidikan ke perguruan tinggi?,OOD
Siapa penulis buku Kata?,OOD
Kira kira kalau saya lanjut S2 jurusan apa yang cocok untuk saya,OOD
Kapan Indonesia Merdeka?,OOD
Tahun berapa UNSRI didirikan?,OOD
Berapa fakultas di unsri? ,OOD
Siapa Nama Dekan Fakultas Ilmu Sosial dan Politik Universitas Sriwijaya?,OOD
Siapa Nama Dekan Fakultas Teknik Universitas Sriwijaya?,OOD
Bagaimana cara menjadi Design Web yang profesional?,OOD
Apa saja aturan yang mengikat puisi lama?,OOD
Bagaimana kriteria mahasiswa yang baik?  ,OOD
Asal usul batik menjadi kebanggaan di Indonesia?,OOD
Siapa istri Adam Smith?,OOD
Apa peran orang tua dalam mendukung pendidikan anak?,OOD
Apa saja warna-warna primer?,OOD
Data untuk apa,OOD
Sebutka lagu yang populer pada tahun 2021?,OOD
Berapa kurun waktu tercepat proses move on setelah ditinggalkan pasca hubungan tanpa status ?,OOD
Mengapa langit berwarna biru?,OOD
Siapa pencipta lagu Hari Merdeka?,OOD
Berapa banyak penjual martabak di indralaya?,OOD
Jika febyk sedang marah, Annisa sedang merajuk. Siapakah yang cantik ?,OOD
Apa saja varian martabak spesial yang tersedia?,OOD
Apakah skill pemrograman itu penting?,OOD
Siapa rektor unsri saat ini ,OOD
Apa yang membuat laptop mudah panas?,OOD
Dimana Suna Alkayuni Aresta Lahir?,OOD
Bagaimana cara mendownload jurnal secara gratis? ,OOD
Berapa uang yang diperlukan untuk membeli sebuah komputer bekas,OOD
Kenapa huruf b itu di antara a dan c,OOD
Apa si keuntungan chatbot ini,OOD
Berapa harga buku Pemrograman Web?,OOD
Siapa penulis buku Egosentris?,OOD
Siapa Nama Dekan Fakultas Ekonomi Universitas Sriwijaya?,OOD
Siapa nama kucing peliharaan Anda ?,OOD
Salah satu merk sepatu ternama,OOD
Siapa penulis buku Atomic Habit?,OOD
Bagaimana cara mengumpulkan tugas pada website elarning unsri?,OOD
Siapa penulis buku Kala?,OOD
Bagaimana cara membuat surat resmi?,OOD
Siapa penulis buku Jika Kita Tak Pernah Jadi Apa-Apa?,OOD
Siapa pemilik perusahaan terbesar di Indonesia?,OOD
Siapa penulis buku Geez and Ann?,OOD
Tanggal berapa UNSRI didirikan?,OOD
Apakah direktur utama UKM U-READ periode 2019/2020 akan meminta maaf kepada sekretaris umum periode 2019/2020 ?,OOD
Siapa Nama Dekan Fakultas Pertanian Universitas Sriwijaya?,OOD
Siapa penulis buku 25 Jam?,OOD
Siapa orang tercerdas di dunia?,OOD
Siapa Nama Manajer EBI 2019/2020?,OOD
Mengapa jumlah Core di sebuah procesor mempengaruhi kinerja laptop?,OOD
Siapa penulis buku Amor Fati?,OOD
Mengapa daun berwarna hijau ?,OOD
Makanan ,OOD
Harga buku kalkulus? ,OOD
Saya hobi nonton,OOD
Siapa nama hero di blackclover ? ,OOD
Bagaimana cara mengekstraksi DBpedia?,OOD
Berapa tinggi Monumen Nasional?,OOD
Apa yang membuat wanita jatuh hati ke seorang pria?,OOD
Bagaimana cara dapat nilai yang tinggi di setiap semester?,OOD
Lebih susah belajar matematika atau bahasa inggris,OOD
Bagaimana cara mendaftar atau pengajuan beasiswa di kampus UNSRI?,OOD
Berapa jumlah tulang rusuk laki-laki?,OOD
Bagaimana cara agar mendapatkan beasiswa full saat kuliah?,OOD
Siapa raja pertama korea selatan?,OOD
Kapan Islam pertama kali datang ke Indonesia?,OOD
UKT tertinggi di UNSRI?,OOD
Apa yang menyebabkan terjadinya kanker?,OOD
Jam berapa kah admin berada dalam ruangan jurusan?,OOD
Apa yang menjadi alasan/landasan anda dalam membuat chatbot,OOD
Seberapa penting bisa berbahasa Inggris?,OOD
Kapan Tere Liye menerbitkan buku pertama kali?,OOD
Mengapa kita perlu minum ?,OOD
Siapa penulis puisi Pada Suatu Hari Nanti?,OOD
